"location","totalPopulation","totalTest","totalCases","totalVac","totalDeaths","PercentageTested","PositivityRate","totalPercentageInfected","totalVaccinated","totalDeathPercentage"
Peru,33359415,"9945732",3585381,"75376117",213259,29.81386813887474,36.04944311791229,10.7477,225.95155520562935,5.9480
Philippines,111046910,"27817521",3691724,"99139603",60458,25.050243181012423,13.271218524468805,3.3245,89.27722797509628,1.6377
Pitcairn,47,"0",,"94",,0.0,,,200.0,
Poland,37797000,"9741547",6008665,"38175510",116349,25.773333862475855,61.680809013188565,15.8972,101.00142868481625,1.9364
Portugal,10167923,"42825406",4775529,"941083",23243,421.1814546589308,11.151158730404097,46.9666,9.255410372403489,0.4867
Puerto Rico,2828246,"2962147",,"0",,104.73441843460576,,,0.0,
Qatar,2930524,"7312735",370235,"5468094",677,249.53677226325394,5.062880030522096,12.6337,186.59099874288694,0.1829
Romania,19127772,"9892099",2910766,"16791534",65693,51.715897700997274,29.42516042348545,15.2175,87.78614676084597,2.2569
Russia,145912022,"156015815",18087265,"147827598",371915,106.92457883970657,11.593225340648958,12.3960,101.31282945280546,2.0562
Rwanda,13276517,"3963905",130197,"920644",1459,29.856512818836446,3.2845640851634936,0.9807,6.934378948936683,1.1206
Saint Helena,6095,"0",4,"7892",,0.0,,0.0656,129.4831829368335,
Saint Kitts and Nevis,53546,"85414",5809,"8573",43,159.51518320696223,6.800992811482895,10.8486,16.01053299966384,0.7402
Saint Lucia,184401,"204052",26206,"99339",371,110.65666672089631,12.842804775253367,14.2114,53.87118291115558,1.4157
Saint Pierre and Miquelon,5771,"0",2748,"0",1,0.0,,47.6174,0.0,0.0364
Saint Vincent and the Grenadines,111269,"98354",9447,"16641",108,88.3929935561567,9.605099945096285,8.4902,14.955648024157671,1.1432
Samoa,200144,"0",13924,"92415",27,0.0,,6.9570,46.17425453673355,0.1939
San Marino,34010,"0",17124,"20141",115,0.0,,50.3499,59.22081740664511,0.6716
Sao Tome and Principe,223364,"3454",6003,"9724",73,1.5463548288891675,173.79849449913144,2.6875,4.353432066044662,1.2161
Saudi Arabia,35340680,"42683591",772269,"58060875",9158,120.7775034323052,1.8092877893052626,2.1852,164.28907140439856,1.1859
Senegal,17196308,"1102099",86137,"906557",1988,6.408928009430862,7.815722543981983,0.5009,5.271811833098128,2.3080
Serbia,6871547,"9742134",2018890,"3264684",16091,141.7749743980504,20.723283009656818,29.3804,47.510174928585954,0.7970
Seychelles,98910,"0",44199,"96523",167,0.0,,44.6861,97.58669497523,0.3778
Sierra Leone,8141343,"426006",7682,"97315",125,5.232625624543764,1.8032609869344562,0.0944,1.1953187576054713,1.6272
Singapore,5453600,"14093100",1321146,"14040912",1393,258.41829250403407,9.374417268024777,24.2252,257.46134663341644,0.1054
Sint Maarten (Dutch part),43421,"0",,"64217",,0.0,,,147.8938762350015,
Slovakia,5449270,"51184876",2543503,"915763",20104,939.2978509048002,4.969247165901115,46.6760,16.805241803030498,0.7904
Slovenia,2078723,"5279684",1026372,"2978347",6642,253.98689483880247,19.44002709253054,49.3751,143.27772387181938,0.6471
Solomon Islands,703995,"0",21237,"97744",149,0.0,,3.0166,13.884189518391466,0.7016
Somalia,16359500,"493663",26565,"964433",1361,3.017592224701244,5.381201345857397,0.1624,5.895247409761912,5.1233
South Africa,60041996,"24654167",3968205,"18330393",101317,41.06153799417328,16.095473840182876,6.6090,30.52928653471147,2.5532
South Korea,51305184,"49637050",18174880,"125588227",24299,96.74860536510307,36.61555229410289,35.4250,244.78662234210097,0.1337
South Sudan,11381377,"99693",17630,"9744",138,0.8759309176736699,17.684290772672103,0.1549,0.08561354219265385,0.7828
Spain,46745211,"92297046",12403245,"62965910",106797,197.44706254508083,13.438398667710342,26.5337,134.7002369932612,0.8610
Sri Lanka,21497306,"7679603",663884,"33589253",16518,35.723559966072024,8.644769788229938,3.0882,156.24866204165303,2.4881
Sudan,44909351,"562941",62382,"827961",4942,1.253505088505955,11.081445480076953,0.1389,1.8436271768879493,7.9222
Suriname,591798,"83563",80547,"343344",1350,14.120189659309426,96.39074710098967,13.6106,58.0170936704754,1.6760
Sweden,10160159,"18359124",2509366,"9944396",19014,180.69721152985895,13.668222950071037,24.6981,97.87638165898782,0.7577
Switzerland,8715494,"21104853",3674986,"15712082",13804,242.15326176577022,17.412990272900743,42.1661,180.2775838064945,0.3756
Syria,18275704,"175957",55898,"977122",3150,0.9627919121474062,31.767988769983575,0.3059,5.34656284649828,5.6353
Taiwan,23855008,"11692165",2457881,"43339289",3090,49.01346082130846,21.02160720448266,10.3034,181.67794787576682,0.1257
Tajikistan,9749625,"0",17786,"124745",125,0.0,,0.1824,1.2794851084016052,0.7028
Tanzania,61498438,"455776",35354,"885579",840,0.7411180101842586,7.756880572913009,0.0575,1.4400024273787246,2.3760
Thailand,69950844,"23931655",4471179,"122045296",30218,34.21210328784596,18.683116566739745,6.3919,174.47294274247784,0.6758
Timor,1343875,"264839",22927,"969619",132,19.707115617151892,8.656957623310767,1.7060,72.15098130406474,0.5757
Togo,8478242,"708063",37131,"997632",273,8.351530895202094,5.244024896089754,0.4380,11.76696772750766,0.7352
Tokelau,1368,"0",,"968",,0.0,,,70.76023391812866,
