"location","totalPopulation","totalTest","totalCases","totalVac","totalDeaths","PercentageTested","PositivityRate","totalPercentageInfected","totalVaccinated","totalDeathPercentage"
Africa,1373486472,88620689,11909089,191075815,254236,6.452243309754273,13.438271733590334,0.8671,13.911736219852628,2.1348
Asia,4678444992,11022621217,153953167,7169576288,1438292,235.60437786162603,1.3967019637993245,3.2907,153.24699339758743,0.9342
Europe,748962983,2074583875,199246221,1109198688,1845952,276.99418023173513,9.604153555854666,26.6029,148.09793183063093,0.9265
North America,596581283,1006267589,100275206,915877826,1450036,168.6723364735531,9.965063676516763,16.8083,153.52104601645706,1.4461
Oceania,43219954,77625511,8999358,70028539,12702,179.60572331937234,11.593299527522595,20.8222,162.02825898426454,0.1411
South America,434260137,172658987,57966816,742060604,1299188,39.759345214778484,33.57300827903039,13.3484,170.87928197286965,2.2413
